report_code,report_title,zone_name,fight_id,fight_name,difficulty,kill,fight_percentage,boss_percentage,last_phase,duration_seconds,start_time_utc,end_time_utc,start_time_epoch_ms
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,6,Dancing Mad,100,False,91.58,15.89,1,208.5,2026-06-05T18:15:32.651000+00:00,2026-06-05T18:19:01.138000+00:00,1780683332651
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,7,Dancing Mad,100,False,85.91,79.58,2,272.0,2026-06-05T18:19:28.178000+00:00,2026-06-05T18:24:00.165000+00:00,1780683568178
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,8,Dancing Mad,100,False,84.32,71.61,2,286.2,2026-06-05T18:26:37.768000+00:00,2026-06-05T18:31:23.944000+00:00,1780683997768
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,9,Dancing Mad,100,False,95.1,51.08,1,115.7,2026-06-05T18:32:18.670000+00:00,2026-06-05T18:34:14.346000+00:00,1780684338670
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,10,Dancing Mad,100,False,95.24,52.48,1,147.5,2026-06-05T18:36:03.012000+00:00,2026-06-05T18:38:30.554000+00:00,1780684563012
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,11,Dancing Mad,100,False,97.62,76.24,1,51.2,2026-06-05T18:38:48.718000+00:00,2026-06-05T18:39:39.888000+00:00,1780684728718
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,12,Dancing Mad,100,False,91.65,16.5,1,201.6,2026-06-05T18:40:03.998000+00:00,2026-06-05T18:43:25.624000+00:00,1780684803998
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,13,Dancing Mad,100,False,97.42,74.23,1,55.2,2026-06-05T18:43:43.951000+00:00,2026-06-05T18:44:39.106000+00:00,1780685023951
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,14,Dancing Mad,100,False,93.77,37.73,1,148.2,2026-06-05T18:44:58.371000+00:00,2026-06-05T18:47:26.621000+00:00,1780685098371
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,15,Dancing Mad,100,False,95.81,58.18,1,111.0,2026-06-05T18:47:49.385000+00:00,2026-06-05T18:49:40.430000+00:00,1780685269385
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,16,Dancing Mad,100,False,91.76,17.66,1,208.3,2026-06-05T18:49:58.597000+00:00,2026-06-05T18:53:26.938000+00:00,1780685398597
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,17,Dancing Mad,100,False,94.18,41.88,1,146.7,2026-06-05T18:54:51.012000+00:00,2026-06-05T18:57:17.758000+00:00,1780685691012
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,18,Dancing Mad,100,False,91.51,15.14,1,208.1,2026-06-05T18:57:38.258000+00:00,2026-06-05T19:01:06.389000+00:00,1780685858258
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,19,Dancing Mad,100,False,91.84,18.42,1,192.8,2026-06-05T19:08:33.161000+00:00,2026-06-05T19:11:45.917000+00:00,1780686513161
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,20,Dancing Mad,100,False,91.45,14.56,1,199.8,2026-06-05T19:12:04.524000+00:00,2026-06-05T19:15:24.355000+00:00,1780686724524
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,21,Dancing Mad,100,False,84.9,74.54,2,285.6,2026-06-05T19:15:42.666000+00:00,2026-06-05T19:20:28.297000+00:00,1780686942666
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,22,Dancing Mad,100,False,83.98,69.94,2,276.5,2026-06-05T19:20:51.334000+00:00,2026-06-05T19:25:27.799000+00:00,1780687251334
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,23,Dancing Mad,100,False,94.57,45.7,1,136.4,2026-06-05T19:25:48.925000+00:00,2026-06-05T19:28:05.330000+00:00,1780687548925
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,24,Dancing Mad,100,False,91.61,16.13,1,199.3,2026-06-05T19:28:23.835000+00:00,2026-06-05T19:31:43.123000+00:00,1780687703835
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,25,Dancing Mad,100,False,86.29,81.47,2,286.2,2026-06-05T19:32:02.096000+00:00,2026-06-05T19:36:48.344000+00:00,1780687922096
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,26,Dancing Mad,100,False,94.93,49.35,1,120.6,2026-06-05T19:40:04.974000+00:00,2026-06-05T19:42:05.535000+00:00,1780688404974
